gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,description
ISG15,3951.1770540086695,5.343109620205222,1.171349401305339,6.716991678820199e-10,1.831921189393057e-8,ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]
MMP8,475.5461339946624,5.291885435350052,1.4616304340542436,1.6278303091371396e-7,2.2521392200038205e-6,matrix metallopeptidase 8 [Source:HGNC Symbol;Acc:HGNC:7175]
OAS1,1780.2589426060222,4.485507766020089,1.7247374802410966,1.7769878725452364e-7,2.440410714534578e-6,2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]
IL1RN,3016.0654429227056,4.396903498808298,0.48442687618788055,1.3621004069442504e-24,1.4352823469900733e-21,interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]
FAM89A,516.9773637717345,4.3469844133206905,0.4191287949623336,4.650977083223279e-27,5.9899417079601145e-24,family with sequence similarity 89 member A [Source:HGNC Symbol;Acc:HGNC:25057]
IFIT2,55055.618545245896,4.2292985676604165,1.1105454367055234,4.849620196232125e-8,7.861810866367352e-7,interferon induced protein with tetratricopeptide repeats 2 [Source:HGNC Symbol;Acc:HGNC:5409]
RSAD2,7595.233766112627,4.210480054438298,1.1212379324419672,1.149407419338203e-7,1.6737162559735064e-6,radical S-adenosyl methionine domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30908]
CASP5,1510.3316855400913,4.154828304190621,0.37901276869405126,3.7880002855351434e-31,8.78134226192757e-28,caspase 5 [Source:HGNC Symbol;Acc:HGNC:1506]
IFI27,270.1517919316925,4.08404804600162,0.8140886402530437,1.4705059585668456e-9,3.673412621928514e-8,interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]
IL18RAP,2212.12581219568,4.074616365672735,0.47949281340835354,1.7284394011374413e-19,4.659149092693972e-17,interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]
